Table 7. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2019,,,,,,,,,,
,2015,2016,2017,2018,2019,,,,,
"Akron, OH ................................................................................................................",0.5,0.6,0.5,0.1,1.3,,,,,
"Albany-Schenectady-Troy, NY .....................................................................",1.8,2.1,2.1,1.7,3.0,,,,,
"Albuquerque, NM...................................................................................................",2.7,1.9,2.1,1.8,1.9,,,,,
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",1.7,1.1,1.7,0.9,1.4,,,,,
"Atlanta-Sandy Springs-Roswell, GA1....................................................",2.2,1.6,1.0,1.1,1.3,,,,,
"Austin-Round Rock, TX.....................................................................................................",1.3,1.0,2.0,1.2,1.8,,,,,
"Baltimore-Columbia-Towson, MD2.....................................................................................................",2.9,2.8,2.5,1.6,2.3,,,,,
"Baton Rouge, LA……………………………………….",1.6,1.5,1.0,1.4,1.9,,,,,
"Birmingham-Hoover, AL......................................................................................................",2.2,2.1,2.0,1.8,1.5,,,,,
"Boston-Cambridge-Newton, MA-NH3...................................................................................",1.1,0.9,0.6,1.0,0.8,,,,,
"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.8,2.3,1.0,1.6,1.8,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",2.5,1.2,3.3,2.1,1.2,,,,,
"Cape Coral-Fort Myers, FL...................................................................................",2.8,3.0,2.9,3.0,2.3,,,,,
"Charleston-North Charleston-Summerville, SC....................................................................................................",2.2,2.4,1.6,3.4,2.2,,,,,
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.8,1.1,0.8,1.7,1.8,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",2.3,2.3,1.8,1.6,1.5,,,,,
"Cincinnati, OH-KY-IN7............................................................................................",2.2,1.4,1.9,1.5,1.1,,,,,
"Cleveland-Elyria, OH8..............................................................................................",1.4,1.7,1.2,0.9,1.1,,,,,
"Columbia, SC………………………………………….",2.2,0.9,2.4,1.9,1.5,,,,,
"Columbus, OH............................................................................................................................................",1.5,1.0,1.1,1.5,0.8,,,,,
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",1.4,1.4,0.8,1.4,1.5,,,,,
"Dayton, OH...........................................................................................................................................................",2.3,3.3,3.7,1.0,2.3,,,,,
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",0.7,1.1,0.7,0.9,1.0,,,,,
"Detroit-Warren-Dearborn, MI10....................................................................................................................",1.1,0.6,0.4,1.0,1.3,,,,,
"Fresno, CA………………………………………………",0.9,0.8,1.1,1.2,1.3,,,,,
"Grand Rapids-Wyoming, MI....................................................................................................................................",0.9,0.5,1.1,0.3,0.5,,,,,
"Greensboro-High Point, NC............................................................................................................................",4.7,1.7,1.2,1.0,0.7,,,,,
"Hartford-West Hartford-East Hartford, CT................................................................................",1.5,1.7,1.4,1.9,0.8,,,,,
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.5,1.8,1.5,2.0,1.9,,,,,
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",1.0,1.4,1.5,1.5,1.5,,,,,
"Jacksonville, FL..........................................................................................................................................",2.0,1.6,1.5,1.3,1.0,,,,,
"Kansas City, MO-KS.............................................................................................................................................",1.3,0.8,0.8,1.2,1.4,,,,,
"Knoxville, TN.............................................................................................................................................",2.3,1.7,0.6,1.6,1.3,,,,,
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",2.3,2.0,2.4,0.9,2.0,,,,,
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",3.0,2.4,2.0,1.8,1.7,,,,,
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",0.8,0.8,0.9,1.2,1.1,,,,,
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",1.8,1.5,0.6,1.4,0.7,,,,,
"Memphis, TN-AR-MS.............................................................................................................................................",1.4,1.4,1.4,1.6,1.4,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",1.4,1.4,1.9,1.9,1.8,,,,,
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",0.8,1.3,0.9,1.4,0.6,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",0.8,0.8,0.9,0.4,0.5,,,,,
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",3.1,1.5,0.6,0.8,1.2,,,,,
"New Haven-Milford, CT..............................................................................................................................................................",2.1,2.5,2.1,1.4,1.5,,,,,
"New Orleans-Metairie, LA.18....................................................................................................................................",2.7,2.6,2.5,1.7,1.8,,,,,
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",2.1,2.2,1.9,1.6,1.4,,,,,
"North Port-Bradenton-Sarasota, FL.......................................................................................................",3.3,1.2,2.5,2.1,4.0,,,,,
"Oklahoma City, OK.............................................................................................................................................................................",2.0,1.6,1.9,2.7,2.7,,,,,
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",1.5,0.7,0.9,0.7,0.6,,,,,
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",4.1,2.1,1.5,2.6,2.5,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",2.4,1.4,1.6,1.2,1.3,,,,,
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",2.0,1.6,1.5,1.4,1.0,,,,,
"Pittsburgh, PA.....................................................................................................................................................................................................",1.5,1.8,2.2,2.2,1.2,,,,,
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.0,1.0,1.1,1.4,0.9,,,,,
"Providence-Warwick, RI-MA23.........................................................................................................................",1.7,1.3,1.2,1.1,0.9,,,,,
"Raleigh, NC24............................................................................................................................................................................",1.7,1.9,1.7,0.9,0.8,,,,,
"Richmond, VA.........................................................................................................................................................................",1.2,1.7,1.2,2.1,1.3,,,,,
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",2.0,1.8,1.6,1.6,1.7,,,,,
"Rochester, NY...........................................................................................................................................................................................",0.8,1.4,2.0,2.0,0.9,,,,,
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.4,0.6,1.0,1.5,0.8,,,,,
"St. Louis, MO-IL..................................................................................................................................................................................",3.1,2.9,1.4,0.9,1.2,,,,,
"Salt Lake City, UT....................................................................................................................................................................",1.3,0.5,0.6,0.5,0.8,,,,,
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",0.8,1.9,1.8,0.6,2.0,,,,,
"San Diego-Carlsbad, CA27.................................................................................................................................",1.0,1.2,0.6,0.7,0.8,,,,,
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.7,0.7,0.7,0.9,0.9,,,,,
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",0.9,0.8,0.7,0.5,0.5,,,,,
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",1.1,0.9,0.5,0.8,1.0,,,,,
"Syracuse, NY………………………………………….",2.3,2.3,1.8,1.0,1.3,,,,,
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",2.4,2.5,2.4,2.1,1.6,,,,,
"Toledo, OH………………………………………………..",2.0,1.0,1.3,3.3,0.8,,,,,
"Tucson, AZ ..........................................................................................................................................................................................................",1.7,1.6,1.1,1.8,1.5,,,,,
"Tulsa, OK....................................................................................................................................................................................................",2.6,1.3,1.9,2.6,1.6,,,,,
"Urban Honolulu, HI29..................................................................................................................................",1.3,1.1,0.9,1.4,1.8,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",2.0,2.1,2.5,1.2,2.2,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",0.9,1.7,1.2,1.1,1.1,,,,,
"Worcester, MA.........................................................................................................................................................................................",1.9,1.2,2.0,0.7,0.6,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
