Table 6. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2019,,,,,,,,,,
,2015,2016,2017,2018,2019,,,,,
"Akron, OH ................................................................................................................",11.8,9.3,4.8,3.3,6.2,,,,,
"Albany-Schenectady-Troy, NY .....................................................................",6.5,3.8,8.5,10.8,12.3,,,,,
"Albuquerque, NM...................................................................................................",7.2,8.1,9.0,7.8,6.5,,,,,
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",3.7,4.2,5.3,5.7,4.0,,,,,
"Atlanta-Sandy Springs-Roswell, GA1....................................................",8.2,6.2,7.0,6.6,7.0,,,,,
"Austin-Round Rock, TX.....................................................................................................",6.0,5.5,6.1,7.0,8.2,,,,,
"Baltimore-Columbia-Towson, MD2.....................................................................................................",7.9,7.6,7.8,9.4,8.8,,,,,
"Baton Rouge, LA……………………………………….",7.8,7.4,8.7,7.6,10.2,,,,,
"Birmingham-Hoover, AL......................................................................................................",17.7,15.1,15.7,11.9,10.5,,,,,
"Boston-Cambridge-Newton, MA-NH3...................................................................................",3.3,3.7,4.8,3.8,3.6,,,,,
"Bridgeport-Stamford-Norwalk, CT.....................................................................",7.1,7.9,9.1,8.2,4.1,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",11.9,9.3,6.4,6.9,6.4,,,,,
"Cape Coral-Fort Myers, FL...................................................................................",4.0,5.8,4.3,5.8,8.5,,,,,
"Charleston-North Charleston-Summerville, SC....................................................................................................",8.7,12.2,17.9,17.0,16.7,,,,,
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",6.4,7.4,5.4,5.6,7.6,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",7.4,6.4,7.0,7.0,5.7,,,,,
"Cincinnati, OH-KY-IN7............................................................................................",10.1,5.8,7.5,4.4,10.7,,,,,
"Cleveland-Elyria, OH8..............................................................................................",7.4,7.1,8.0,6.9,3.8,,,,,
"Columbia, SC………………………………………….",7.9,5.2,6.3,9.4,9.3,,,,,
"Columbus, OH............................................................................................................................................",6.5,6.1,6.3,8.6,4.3,,,,,
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",8.3,6.8,7.1,7.4,6.9,,,,,
"Dayton, OH...........................................................................................................................................................",9.4,10.5,6.9,11.2,9.6,,,,,
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",4.8,4.5,5.9,3.8,4.7,,,,,
"Detroit-Warren-Dearborn, MI10....................................................................................................................",6.8,7.1,8.1,6.8,6.2,,,,,
"Fresno, CA………………………………………………",5.6,3.8,3.1,1.8,6.9,,,,,
"Grand Rapids-Wyoming, MI....................................................................................................................................",4.4,5.1,4.0,6.8,4.5,,,,,
"Greensboro-High Point, NC............................................................................................................................",9.7,12.5,10.2,11.4,8.1,,,,,
"Hartford-West Hartford-East Hartford, CT................................................................................",6.1,6.8,5.4,4.5,4.3,,,,,
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",9.6,9.3,9.9,8.8,11.4,,,,,
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",8.4,9.2,11.9,9.9,7.0,,,,,
"Jacksonville, FL..........................................................................................................................................",9.9,8.3,8.5,5.6,5.2,,,,,
"Kansas City, MO-KS.............................................................................................................................................",7.9,9.2,9.4,7.9,10.0,,,,,
"Knoxville, TN.............................................................................................................................................",7.5,6.2,7.9,7.4,7.1,,,,,
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",7.3,6.6,7.0,6.8,5.5,,,,,
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",12.8,12.2,11.3,10.9,11.4,,,,,
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",3.3,2.9,4.1,4.0,4.0,,,,,
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",5.7,5.0,7.8,7.7,10.6,,,,,
"Memphis, TN-AR-MS.............................................................................................................................................",10.7,9.4,10.5,11.7,10.6,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",6.4,7.2,7.0,7.4,7.0,,,,,
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",4.5,5.2,6.5,5.9,6.6,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",4.9,3.8,4.2,4.1,4.1,,,,,
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",4.9,4.8,7.6,7.5,8.6,,,,,
"New Haven-Milford, CT..............................................................................................................................................................",5.8,7.3,6.9,5.6,8.3,,,,,
"New Orleans-Metairie, LA.18....................................................................................................................................",10.1,11.1,10.8,9.7,9.4,,,,,
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",4.2,4.7,4.6,4.5,4.3,,,,,
"North Port-Bradenton-Sarasota, FL.......................................................................................................",8.3,9.8,5.7,7.3,5.8,,,,,
"Oklahoma City, OK.............................................................................................................................................................................",7.6,10.9,9.9,11.8,8.6,,,,,
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",6.4,6.7,4.7,7.1,6.3,,,,,
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",8.0,6.6,6.9,5.8,8.3,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",7.6,6.8,7.3,6.4,7.1,,,,,
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",6.3,5.8,6.0,6.2,5.0,,,,,
"Pittsburgh, PA.....................................................................................................................................................................................................",7.1,7.4,9.7,6.3,7.3,,,,,
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",3.4,5.0,4.8,3.8,4.4,,,,,
"Providence-Warwick, RI-MA23.........................................................................................................................",3.3,3.8,4.2,5.0,4.2,,,,,
"Raleigh, NC24............................................................................................................................................................................",6.6,4.3,5.8,6.4,7.0,,,,,
"Richmond, VA.........................................................................................................................................................................",5.6,5.8,7.2,5.4,9.5,,,,,
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",7.0,5.6,5.6,5.1,4.5,,,,,
"Rochester, NY...........................................................................................................................................................................................",6.5,6.4,6.5,5.7,5.9,,,,,
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",5.3,5.9,4.2,5.1,4.2,,,,,
"St. Louis, MO-IL..................................................................................................................................................................................",9.7,8.5,7.9,7.4,8.8,,,,,
"Salt Lake City, UT....................................................................................................................................................................",5.8,6.4,6.2,6.1,5.0,,,,,
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",9.6,10.3,11.5,7.4,10.1,,,,,
"San Diego-Carlsbad, CA27.................................................................................................................................",3.4,2.9,3.9,4.5,5.8,,,,,
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",3.6,3.6,4.2,5.4,3.8,,,,,
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",3.5,4.5,3.2,4.6,3.7,,,,,
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",3.8,3.3,3.4,4.8,4.4,,,,,
"Syracuse, NY………………………………………….",9.2,6.5,6.5,5.8,11.3,,,,,
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",6.6,8.7,9.6,9.9,10.7,,,,,
"Toledo, OH………………………………………………..",9.2,6.4,9.5,12.6,10.2,,,,,
"Tucson, AZ ..........................................................................................................................................................................................................",10.1,9.8,6.9,4.4,7.3,,,,,
"Tulsa, OK....................................................................................................................................................................................................",9.1,8.2,8.5,10.1,8.5,,,,,
"Urban Honolulu, HI29..................................................................................................................................",7.4,9.4,8.0,6.5,5.7,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",7.5,8.2,8.2,7.1,7.1,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",5.7,6.0,6.2,6.2,5.6,,,,,
"Worcester, MA.........................................................................................................................................................................................",2.9,3.7,3.9,2.6,2.5,,,,,
,,,,,,,,,,
