,Year,State,Total Housing,Total Vacancies,Total Renter Occupied,Owner Occupied,For Rent,For Sale,County
35,2010, Idaho,155754,10170,44200,101384,2958,3006,Ada County
80,2011, Idaho,158081,10328,45806,101947,2807,3021,Ada County
125,2012, Idaho,159535,9651,47844,102040,2719,2810,Ada County
170,2013, Idaho,160861,9261,48321,103279,2531,2402,Ada County
215,2014, Idaho,162766,8358,50463,103945,2073,2098,Ada County
260,2015, Idaho,164992,7706,51447,105839,1757,1625,Ada County
305,2016, Idaho,167739,7341,52124,108274,1516,1471,Ada County
350,2017, Idaho,172399,8010,52151,112238,1458,1454,Ada County
395,2018, Idaho,176693,7952,53372,115369,1355,1354,Ada County
440,2019, Idaho,181533,8180,53208,120145,1321,1351,Ada County
52,2010, Washington,66897,4859,18808,43230,1928,832,Benton County
97,2011, Washington,67902,4662,19255,43985,1801,694,Benton County
142,2012, Washington,68896,4236,19986,44674,1695,631,Benton County
187,2013, Washington,69638,3963,20954,44721,1568,479,Benton County
232,2014, Washington,70606,3981,21340,45285,1512,571,Benton County
277,2015, Washington,71473,4043,21922,45508,1629,374,Benton County
322,2016, Washington,72262,3844,21593,46825,1420,391,Benton County
367,2017, Washington,74009,3646,22427,47936,1301,364,Benton County
412,2018, Washington,75108,4125,22461,48522,1391,367,Benton County
457,2019, Washington,76241,4120,22484,49637,1232,319,Benton County
21,2010, Colorado,21394,1278,5153,14963,327,345,Broomfield County
66,2011, Colorado,22077,1236,5820,15021,403,422,Broomfield County
111,2012, Colorado,22552,1177,6373,15002,428,338,Broomfield County
156,2013, Colorado,23211,1195,6985,15031,440,331,Broomfield County
201,2014, Colorado,23897,1246,6891,15760,442,261,Broomfield County
246,2015, Colorado,24710,1179,7433,16098,371,249,Broomfield County
291,2016, Colorado,25543,962,7935,16646,372,90,Broomfield County
336,2017, Colorado,26909,971,8631,17307,384,54,Broomfield County
381,2018, Colorado,27647,926,8999,17722,402,51,Broomfield County
426,2019, Colorado,28374,904,9553,17917,347,106,Broomfield County
36,2010, Idaho,67649,5641,17722,44286,1974,1437,Canyon County
81,2011, Idaho,68796,5972,18109,44715,1712,1542,Canyon County
126,2012, Idaho,69299,6287,18522,44490,1697,1444,Canyon County
171,2013, Idaho,69597,6155,19483,43959,1545,1458,Canyon County
216,2014, Idaho,70129,5615,20038,44476,1017,1349,Canyon County
261,2015, Idaho,70720,4913,20586,45221,778,935,Canyon County
306,2016, Idaho,71441,4286,21594,45561,853,712,Canyon County
351,2017, Idaho,73265,3962,22469,46834,811,671,Canyon County
396,2018, Idaho,74650,3803,22557,48290,699,544,Canyon County
441,2019, Idaho,76247,3440,22204,50603,691,529,Canyon County
30,2010, Nevada,812840,117139,290654,405047,35854,20636,Clark County
75,2011, Nevada,829544,127708,301799,400037,39688,21086,Clark County
120,2012, Nevada,838894,132857,312875,393162,42075,19019,Clark County
165,2013, Nevada,844979,134921,323458,386600,43170,15247,Clark County
210,2014, Nevada,851131,135716,335738,379677,41677,12932,Clark County
255,2015, Nevada,857131,132685,344021,380425,40678,10946,Clark County
300,2016, Nevada,864164,128689,351146,384329,39116,9249,Clark County
345,2017, Nevada,877617,127759,354657,395201,36450,9598,Clark County
390,2018, Nevada,888556,120602,359907,408047,35623,9531,Clark County
435,2019, Nevada,899870,116346,362272,421252,35999,9435,Clark County
17,2010, Texas,45099,6115,9382,29602,1033,987,Comal County
62,2011, Texas,46304,6185,9776,30343,916,986,Comal County
107,2012, Texas,47288,6176,9894,31218,893,819,Comal County
152,2013, Texas,48052,6098,10042,31912,858,509,Comal County
197,2014, Texas,49095,6032,10418,32645,789,431,Comal County
242,2015, Texas,50288,6337,10579,33372,746,423,Comal County
287,2016, Texas,51631,6293,11397,33941,849,417,Comal County
332,2017, Texas,53692,6439,11648,35605,974,561,Comal County
377,2018, Texas,55849,6946,12189,36714,997,741,Comal County
422,2019, Texas,58181,6814,12904,38463,995,750,Comal County
24,2010, Colorado,3705,1855,361,1489,37,133,Custer County
69,2011, Colorado,3756,1929,291,1536,41,76,Custer County
114,2012, Colorado,4177,2124,330,1723,71,170,Custer County
159,2013, Colorado,4159,2111,397,1651,96,225,Custer County
204,2014, Colorado,4512,2387,431,1694,86,225,Custer County
249,2015, Colorado,4323,2327,405,1591,86,207,Custer County
294,2016, Colorado,4245,2295,381,1569,107,227,Custer County
339,2017, Colorado,4394,2301,379,1714,99,200,Custer County
384,2018, Colorado,4464,2381,306,1777,74,235,Custer County
429,2019, Colorado,4408,2194,284,1930,76,228,Custer County
23,2010, Colorado,281296,27115,120629,133552,9913,5356,Denver County
68,2011, Colorado,283658,25526,124674,133458,9184,4599,Denver County
113,2012, Colorado,285495,23659,129835,132001,8076,3778,Denver County
158,2013, Colorado,287735,21666,132418,133651,7331,3416,Denver County
203,2014, Colorado,290624,19570,136211,134843,6513,2446,Denver County
248,2015, Colorado,294191,18396,139521,136274,6385,1556,Denver County
293,2016, Colorado,299338,18266,142202,138870,6134,1368,Denver County
338,2017, Colorado,306714,19452,143388,143874,6647,1319,Denver County
383,2018, Colorado,314045,19687,148275,146083,7188,1110,Denver County
428,2019, Colorado,321717,20216,151119,150382,7026,1192,Denver County
22,2010, Colorado,103249,4524,17229,81496,1067,1677,Douglas County
67,2011, Colorado,105495,4700,18685,82110,1090,1771,Douglas County
112,2012, Colorado,106829,4640,19422,82767,1194,1800,Douglas County
157,2013, Colorado,108278,4498,19855,83925,1128,1383,Douglas County
202,2014, Colorado,109835,4431,20364,85040,1234,1156,Douglas County
247,2015, Colorado,115068,3955,22852,88261,1107,832,Douglas County
292,2016, Colorado,118178,4161,23287,90730,1097,774,Douglas County
337,2017, Colorado,118044,4245,23368,90431,1164,676,Douglas County
382,2018, Colorado,121541,4115,24651,92775,1074,779,Douglas County
427,2019, Colorado,124771,4062,25365,95344,1176,869,Douglas County
49,2010, North Dakota,2117,799,199,1119,21,17,Dunn County
94,2011, North Dakota,2107,748,204,1155,18,24,Dunn County
139,2012, North Dakota,2201,740,253,1208,21,26,Dunn County
184,2013, North Dakota,2257,819,254,1184,25,37,Dunn County
229,2014, North Dakota,2292,819,286,1187,21,27,Dunn County
274,2015, North Dakota,2404,847,296,1261,12,27,Dunn County
319,2016, North Dakota,2450,902,342,1206,29,28,Dunn County
364,2017, North Dakota,2523,922,354,1247,56,29,Dunn County
409,2018, North Dakota,2530,882,367,1281,53,21,Dunn County
454,2019, North Dakota,2621,929,389,1303,51,24,Dunn County
34,2010, Nevada,19492,2168,5011,12313,341,243,Elko County
79,2011, Nevada,19516,2272,4612,12632,329,239,Elko County
124,2012, Nevada,19624,2112,4993,12519,292,139,Elko County
169,2013, Nevada,19712,2113,5264,12335,298,53,Elko County
214,2014, Nevada,19939,2352,5072,12515,397,34,Elko County
259,2015, Nevada,20192,2496,5258,12438,465,15,Elko County
304,2016, Nevada,20425,2807,5234,12384,620,82,Elko County
349,2017, Nevada,21075,3193,5255,12627,812,89,Elko County
394,2018, Nevada,21350,3662,4895,12793,852,159,Elko County
439,2019, Nevada,21579,3514,5195,12870,822,182,Elko County
32,2010, Nevada,906,399,179,328,31,22,Esmeralda County
77,2011, Nevada,918,409,183,326,33,20,Esmeralda County
122,2012, Nevada,928,414,218,296,41,18,Esmeralda County
167,2013, Nevada,913,434,213,266,29,15,Esmeralda County
212,2014, Nevada,939,472,188,279,42,15,Esmeralda County
257,2015, Nevada,1003,520,194,289,41,13,Esmeralda County
302,2016, Nevada,969,515,200,254,63,6,Esmeralda County
347,2017, Nevada,992,498,225,269,57,10,Esmeralda County
392,2018, Nevada,949,495,190,264,54,12,Esmeralda County
437,2019, Nevada,950,459,205,286,38,11,Esmeralda County
50,2010, Washington,23408,1986,7121,14301,649,334,Franklin County
95,2011, Washington,24031,2027,7227,14777,496,365,Franklin County
140,2012, Washington,24585,1738,7884,14963,281,298,Franklin County
185,2013, Washington,25063,1618,7747,15698,135,270,Franklin County
230,2014, Washington,25603,1396,7955,16252,129,162,Franklin County
275,2015, Washington,26029,1304,8130,16595,253,117,Franklin County
320,2016, Washington,26386,1229,8085,17072,256,138,Franklin County
365,2017, Washington,27103,1268,8000,17835,237,102,Franklin County
410,2018, Washington,27571,1255,8244,18072,231,145,Franklin County
455,2019, Washington,28063,1340,8428,18295,234,160,Franklin County
42,2010, Arizona,4190,863,1767,1560,175,60,Greenlee County
87,2011, Arizona,4287,995,1716,1576,191,99,Greenlee County
132,2012, Arizona,4345,974,1841,1530,241,104,Greenlee County
177,2013, Arizona,4381,995,1825,1561,211,81,Greenlee County
222,2014, Arizona,4395,949,1857,1589,154,76,Greenlee County
267,2015, Arizona,4399,1180,1726,1493,183,63,Greenlee County
312,2016, Arizona,4424,1129,1795,1500,162,30,Greenlee County
357,2017, Arizona,4445,1081,1778,1586,204,30,Greenlee County
402,2018, Arizona,4435,1210,1639,1586,313,27,Greenlee County
447,2019, Arizona,4453,1321,1609,1523,347,31,Greenlee County
16,2010, Texas,55188,4709,16238,34241,920,408,Hays County
61,2011, Texas,57591,4874,17243,35474,874,486,Hays County
106,2012, Texas,59870,5327,17778,36765,839,581,Hays County
151,2013, Texas,62205,5746,18727,37732,1193,560,Hays County
196,2014, Texas,64881,6132,20511,38238,1228,702,Hays County
241,2015, Texas,67463,6103,22175,39185,1569,736,Hays County
286,2016, Texas,70192,5868,23810,40514,1567,628,Hays County
331,2017, Texas,73347,5302,25803,42242,1700,528,Hays County
376,2018, Texas,76193,5312,27051,43830,1690,518,Hays County
421,2019, Texas,78715,5278,27698,45739,1555,578,Hays County
19,2010, Texas,1534,468,220,846,28,14,Hudspeth County
64,2011, Texas,1403,452,186,765,27,30,Hudspeth County
109,2012, Texas,1533,436,190,907,22,32,Hudspeth County
154,2013, Texas,1523,427,194,902,5,33,Hudspeth County
199,2014, Texas,1527,505,179,843,5,33,Hudspeth County
244,2015, Texas,1533,565,169,799,7,28,Hudspeth County
289,2016, Texas,1531,591,177,763,20,11,Hudspeth County
334,2017, Texas,1559,669,225,665,21,6,Hudspeth County
379,2018, Texas,1562,662,217,683,21,11,Hudspeth County
424,2019, Texas,1579,601,275,703,30,11,Hudspeth County
18,2010, Texas,13508,1453,2970,9085,242,133,Kendall County
63,2011, Texas,13848,1379,3116,9353,215,118,Kendall County
108,2012, Texas,14091,1349,3101,9641,161,94,Kendall County
153,2013, Texas,14271,1511,3260,9500,230,129,Kendall County
198,2014, Texas,14519,1400,3565,9554,200,143,Kendall County
243,2015, Texas,14754,1202,3717,9835,181,89,Kendall County
288,2016, Texas,14983,1593,3655,9735,264,97,Kendall County
333,2017, Texas,15406,1715,3716,9975,259,122,Kendall County
378,2018, Texas,15758,1599,3839,10320,186,122,Kendall County
423,2019, Texas,16089,1836,3690,10563,189,165,Kendall County
53,2010, Washington,835564,53587,313438,468539,15127,9208,King County
98,2011, Washington,844169,54099,319385,470685,14228,9854,King County
143,2012, Washington,851180,54625,327525,469030,15202,9191,King County
188,2013, Washington,856720,54114,335642,466964,15190,8185,King County
233,2014, Washington,863745,55016,344104,464625,14037,7795,King County
278,2015, Washington,871836,52185,349019,470632,12400,6402,King County
323,2016, Washington,882655,50660,355444,476551,11305,5669,King County
368,2017, Washington,902107,51030,362523,488554,11022,5458,King County
413,2018, Washington,917904,52277,371184,494443,11584,4726,King County
458,2019, Washington,935471,53443,379735,502293,12956,5179,King County
51,2010, Washington,21040,4421,7229,9390,297,202,Kittitas County
96,2011, Washington,21533,4875,7141,9517,476,209,Kittitas County
141,2012, Washington,21803,5304,7225,9274,721,199,Kittitas County
186,2013, Washington,21968,5430,7152,9386,696,243,Kittitas County
231,2014, Washington,22188,5435,7152,9601,761,126,Kittitas County
276,2015, Washington,22364,5411,7186,9767,747,156,Kittitas County
321,2016, Washington,22539,5375,7643,9521,722,156,Kittitas County
366,2017, Washington,23062,5414,7476,10172,579,130,Kittitas County
411,2018, Washington,23393,5390,7646,10357,488,105,Kittitas County
456,2019, Washington,23801,5454,7498,10849,502,128,Kittitas County
37,2010, Idaho,61173,6613,15962,38598,660,750,Kootenai County
82,2011, Idaho,62369,7068,16191,39110,897,899,Kootenai County
127,2012, Idaho,63146,7795,16485,38866,1208,857,Kootenai County
172,2013, Idaho,63692,8013,16356,39323,1048,768,Kootenai County
217,2014, Idaho,64525,8718,16630,39177,1193,848,Kootenai County
262,2015, Idaho,65272,8851,16839,39582,1091,729,Kootenai County
307,2016, Idaho,66126,8913,17304,39909,890,918,Kootenai County
352,2017, Idaho,67941,9068,17144,41729,709,885,Kootenai County
397,2018, Idaho,69325,8828,17862,42635,628,871,Kootenai County
442,2019, Idaho,70892,8588,18443,43861,493,602,Kootenai County
15,2010, Texas,64,42,12,10,0,0,Loving County
60,2011, Texas,71,44,15,12,0,0,Loving County
105,2012, Texas,70,35,14,21,0,0,Loving County
150,2013, Texas,63,30,17,16,0,0,Loving County
195,2014, Texas,64,31,21,12,0,0,Loving County
240,2015, Texas,73,28,23,22,0,0,Loving County
285,2016, Texas,64,27,20,17,0,0,Loving County
330,2017, Texas,59,28,15,16,0,0,Loving County
375,2018, Texas,70,37,12,21,0,0,Loving County
420,2019, Texas,66,36,11,19,0,0,Loving County
33,2010, Nevada,21481,3715,4938,12828,890,673,Lyon County
78,2011, Nevada,22146,3773,5525,12848,752,566,Lyon County
123,2012, Nevada,22286,3738,5497,13051,706,425,Lyon County
168,2013, Nevada,22352,3074,5734,13544,501,339,Lyon County
213,2014, Nevada,22444,2716,5543,14185,270,289,Lyon County
258,2015, Nevada,22419,2895,5822,13702,294,396,Lyon County
303,2016, Nevada,22427,2841,6140,13446,351,480,Lyon County
348,2017, Nevada,22979,2852,5879,14248,297,487,Lyon County
393,2018, Nevada,23170,2642,6004,14524,259,461,Lyon County
438,2019, Nevada,23420,2231,6204,14985,274,376,Lyon County
29,2010, Florida,170719,39519,33983,97217,6953,5775,Manatee County
74,2011, Florida,172018,40700,35509,95809,7826,5230,Manatee County
119,2012, Florida,172901,41729,37072,94100,7587,4519,Manatee County
164,2013, Florida,173444,42247,37514,93683,6976,3874,Manatee County
209,2014, Florida,175211,41766,39474,93971,5914,3492,Manatee County
254,2015, Florida,177046,42321,40696,94029,5380,3200,Manatee County
299,2016, Florida,179365,43375,40884,95106,4962,3017,Manatee County
344,2017, Florida,183774,43519,40155,100100,4662,2803,Manatee County
389,2018, Florida,187302,43650,40809,102843,5303,2611,Manatee County
434,2019, Florida,191000,45644,39454,105902,6315,2704,Manatee County
41,2010, Arizona,1596165,214163,465487,916515,58105,35675,Maricopa County
86,2011, Arizona,1620963,226947,485677,908339,62194,36448,Maricopa County
